class;id;name;notes;MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id]
;bqbiol:isDescribedBy;PubMed;20840015;bqbiol:isDescribedBy;Protein Data Bank;3fqn;bqbiol:isDescribedBy;Protein Data Bank;1luj;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;RefSeq;NM_001098210;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;Protein Data Bank;3sl9;bqbiol:isDescribedBy;Protein Data Bank;1th1;bqbiol:isDescribedBy;PubMed;23602936;bqbiol:isDescribedBy;Protein Data Bank;1g3j;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;Protein Data Bank;1t08;bqbiol:isDescribedBy;Protein Data Bank;7afw;bqbiol:isDescribedBy;Protein Data Bank;3sla;bqbiol:isDescribedBy;PubMed;15705634;bqbiol:isDescribedBy;Protein Data Bank;6m94;bqbiol:isDescribedBy;PubMed;19683077;bqbiol:isDescribedBy;Protein Data Bank;3tx7;bqbiol:isDescribedBy;Protein Data Bank;1jpw;bqbiol:isDescribedBy;Protein Data Bank;1p22;bqbiol:isDescribedBy;Ensembl;ENSG00000168036;bqbiol:isDescribedBy;Ensembl;ENSG00000168036;bqbiol:isDescribedBy;UniProt Knowledgebase;P35222;bqbiol:isDescribedBy;UniProt Knowledgebase;P35222;bqbiol:isDescribedBy;Protein Data Bank;1qz7;bqbiol:isDescribedBy;Protein Data Bank;1jdh;bqbiol:isDescribedBy;STRING;P35222;bqbiol:isDescribedBy;Protein Data Bank;6wnx;bqbiol:isDescribedBy;Protein Data Bank;6wlx;bqbiol:isDescribedBy;Protein Data Bank;6m90;bqbiol:isDescribedBy;HGNC Symbol;CTNNB1;bqbiol:isDescribedBy;HGNC Symbol;CTNNB1;bqbiol:isDescribedBy;Protein Data Bank;6m91;bqbiol:isDescribedBy;Protein Data Bank;6m92;bqbiol:isDescribedBy;Protein Data Bank;6m93;bqbiol:isDescribedBy;Protein Data Bank;6o9b;bqbiol:isDescribedBy;Protein Data Bank;6o9c;bqbiol:isDescribedBy;HGNC Symbol;2514;bqbiol:isDescribedBy;Protein Data Bank;4djs;bqbiol:isDescribedBy;Protein Data Bank;3fqr;bqbiol:isDescribedBy;Protein Data Bank;2gl7;bqbiol:isDescribedBy;Protein Data Bank;3diw;bqbiol:isDescribedBy;Protein Data Bank;2z6h;bqbiol:isDescribedBy;PubMed;26088648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name: catenin beta 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previous Symbols: CTNNB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: armadillo; beta-catenin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 2514;2514;2514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 1499;1499;1499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RefSeq_ID: NM_001098210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pubmed_ID: 20840015;23602936;15705634;19683077;26088648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The protein encoded by this gene is part of a complex of proteins that constitute adherens junctions (AJs). AJs are necessary for the creation and maintenance of epithelial cell layers by regulating cell growth and adhesion between cells. The encoded protein also anchors the actin cytoskeleton and may be responsible for transmitting the contact inhibition signal that causes cells to stop dividing once the epithelial sheet is complete. Finally; this protein binds to the product of the APC gene; which is mutated in adenomatous polyposis of the colon. Mutations in this gene are a cause of colorectal cancer (CRC); pilomatrixoma (PTR); medulloblastoma (MDB); and ovarian cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq; Aug 2016];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;PubMed;20840015;bqbiol:isDescribedBy;Protein Data Bank;3fqn;bqbiol:isDescribedBy;Protein Data Bank;1luj;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;RefSeq;NM_001098210;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;HGNC;2514;bqbiol:isDescribedBy;Protein Data Bank;3sl9;bqbiol:isDescribedBy;Protein Data Bank;1th1;bqbiol:isDescribedBy;PubMed;23602936;bqbiol:isDescribedBy;Protein Data Bank;1g3j;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;NCBI Gene;1499;bqbiol:isDescribedBy;Protein Data Bank;1t08;bqbiol:isDescribedBy;Protein Data Bank;7afw;bqbiol:isDescribedBy;Protein Data Bank;3sla;bqbiol:isDescribedBy;PubMed;15705634;bqbiol:isDescribedBy;Protein Data Bank;6m94;bqbiol:isDescribedBy;PubMed;19683077;bqbiol:isDescribedBy;Protein Data Bank;3tx7;bqbiol:isDescribedBy;Protein Data Bank;1jpw;bqbiol:isDescribedBy;Protein Data Bank;1p22;bqbiol:isDescribedBy;Ensembl;ENSG00000168036;bqbiol:isDescribedBy;Ensembl;ENSG00000168036;bqbiol:isDescribedBy;UniProt Knowledgebase;P35222;bqbiol:isDescribedBy;UniProt Knowledgebase;P35222;bqbiol:isDescribedBy;Protein Data Bank;1qz7;bqbiol:isDescribedBy;Protein Data Bank;1jdh;bqbiol:isDescribedBy;STRING;P35222;bqbiol:isDescribedBy;Protein Data Bank;6wnx;bqbiol:isDescribedBy;Protein Data Bank;6wlx;bqbiol:isDescribedBy;Protein Data Bank;6m90;bqbiol:isDescribedBy;HGNC Symbol;CTNNB1;bqbiol:isDescribedBy;HGNC Symbol;CTNNB1;bqbiol:isDescribedBy;Protein Data Bank;6m91;bqbiol:isDescribedBy;Protein Data Bank;6m92;bqbiol:isDescribedBy;Protein Data Bank;6m93;bqbiol:isDescribedBy;Protein Data Bank;6o9b;bqbiol:isDescribedBy;Protein Data Bank;6o9c;bqbiol:isDescribedBy;HGNC Symbol;2514;bqbiol:isDescribedBy;Protein Data Bank;4djs;bqbiol:isDescribedBy;Protein Data Bank;3fqr;bqbiol:isDescribedBy;Protein Data Bank;2gl7;bqbiol:isDescribedBy;Protein Data Bank;3diw;bqbiol:isDescribedBy;Protein Data Bank;2z6h;bqbiol:isDescribedBy;PubMed;26088648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name: matrix metallopeptidase 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previous Symbols: CLG4B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: CLG4B; GELB; MANDP2; MMP-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 7176;7176;7176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 4318;4318;4318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RefSeq_ID: NM_004994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pubmed_ID: 2165210;25404518;2551898;3680518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes; such as embryonic development; reproduction; and tissue remodeling; as well as in disease processes; such as arthritis and metastasis. Most MMP&apos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;Protein Data Bank;4h2e;bqbiol:isDescribedBy;Protein Data Bank;1gkd;bqbiol:isDescribedBy;Protein Data Bank;5th9;bqbiol:isDescribedBy;Protein Data Bank;1gkc;bqbiol:isDescribedBy;Protein Data Bank;4h82;bqbiol:isDescribedBy;Protein Data Bank;5th6;bqbiol:isDescribedBy;Ensembl;ENSG00000100985;bqbiol:isDescribedBy;Ensembl;ENSG00000100985;bqbiol:isDescribedBy;NCBI Gene;4318;bqbiol:isDescribedBy;NCBI Gene;4318;bqbiol:isDescribedBy;NCBI Gene;4318;bqbiol:isDescribedBy;Protein Data Bank;4h3x;bqbiol:isDescribedBy;Protein Data Bank;2ow2;bqbiol:isDescribedBy;Protein Data Bank;2ow0;bqbiol:isDescribedBy;Protein Data Bank;4jij;bqbiol:isDescribedBy;Protein Data Bank;2ow1;bqbiol:isDescribedBy;Protein Data Bank;4h1q;bqbiol:isDescribedBy;Protein Data Bank;5cuh;bqbiol:isDescribedBy;STRING;P14780;bqbiol:isDescribedBy;UniProt Knowledgebase;P14780;bqbiol:isDescribedBy;UniProt Knowledgebase;P14780;bqbiol:isDescribedBy;Protein Data Bank;1itv;bqbiol:isDescribedBy;HGNC Symbol;MMP9;bqbiol:isDescribedBy;HGNC Symbol;MMP9;bqbiol:isDescribedBy;Protein Data Bank;4hma;bqbiol:isDescribedBy;PubMed;2165210;bqbiol:isDescribedBy;Protein Data Bank;5ue4;bqbiol:isDescribedBy;PubMed;25404518;bqbiol:isDescribedBy;Enzyme Nomenclature;3.4.24.35;bqbiol:isDescribedBy;Protein Data Bank;5ue3;bqbiol:isDescribedBy;Protein Data Bank;1l6j;bqbiol:isDescribedBy;Protein Data Bank;4jqg;bqbiol:isDescribedBy;PubMed;2551898;bqbiol:isDescribedBy;Protein Data Bank;6esm;bqbiol:isDescribedBy;RefSeq;NM_004994;bqbiol:isDescribedBy;Protein Data Bank;5i12;bqbiol:isDescribedBy;Protein Data Bank;4xct;bqbiol:isDescribedBy;HGNC Symbol;7176;bqbiol:isDescribedBy;Protein Data Bank;2ovz;bqbiol:isDescribedBy;Protein Data Bank;4wzv;bqbiol:isDescribedBy;Protein Data Bank;2ovx;bqbiol:isDescribedBy;PubMed;3680518;bqbiol:isDescribedBy;HGNC;7176;bqbiol:isDescribedBy;HGNC;7176;bqbiol:isDescribedBy;HGNC;7176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name: matrix metallopeptidase 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Previous Symbols: STMY; STMY1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: CHDS6; MMP-3; SL-1; STMY; STMY1; STR1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 7173;7173;7173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 4314;4314;4314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RefSeq_ID: NM_002422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pubmed_ID: 2165861;2995374;3095317;26819496;2197998;17559674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes; such as embryonic development; reproduction; and tissue remodeling; as well as in disease processes; such as arthritis and metastasis. Most MMP&apos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;bqbiol:isDescribedBy;Protein Data Bank;6mav;bqbiol:isDescribedBy;Protein Data Bank;1c3i;bqbiol:isDescribedBy;Protein Data Bank;1d5j;bqbiol:isDescribedBy;Protein Data Bank;1sln;bqbiol:isDescribedBy;PubMed;2165861;bqbiol:isDescribedBy;Protein Data Bank;1slm;bqbiol:isDescribedBy;Protein Data Bank;1hfs;bqbiol:isDescribedBy;PubMed;2995374;bqbiol:isDescribedBy;PubMed;3095317;bqbiol:isDescribedBy;RefSeq;NM_002422;bqbiol:isDescribedBy;HGNC Symbol;MMP3;bqbiol:isDescribedBy;HGNC Symbol;MMP3;bqbiol:isDescribedBy;Protein Data Bank;1b8y;bqbiol:isDescribedBy;Protein Data Bank;1g05;bqbiol:isDescribedBy;Protein Data Bank;1g49;bqbiol:isDescribedBy;PubMed;26819496;bqbiol:isDescribedBy;Protein Data Bank;4g9l;bqbiol:isDescribedBy;Protein Data Bank;1d8m;bqbiol:isDescribedBy;Protein Data Bank;2d1o;bqbiol:isDescribedBy;Protein Data Bank;6n9d;bqbiol:isDescribedBy;NCBI Gene;4314;bqbiol:isDescribedBy;NCBI Gene;4314;bqbiol:isDescribedBy;NCBI Gene;4314;bqbiol:isDescribedBy;STRING;P08254;bqbiol:isDescribedBy;HGNC Symbol;7173;bqbiol:isDescribedBy;Protein Data Bank;2jt5;bqbiol:isDescribedBy;Protein Data Bank;1d7x;bqbiol:isDescribedBy;HGNC;7173;bqbiol:isDescribedBy;HGNC;7173;bqbiol:isDescribedBy;HGNC;7173;bqbiol:isDescribedBy;Protein Data Bank;1biw;bqbiol:isDescribedBy;Protein Data Bank;1d8f;bqbiol:isDescribedBy;Protein Data Bank;1usn;bqbiol:isDescribedBy;Protein Data Bank;2jnp;bqbiol:isDescribedBy;Protein Data Bank;2jt6;bqbiol:isDescribedBy;PubMed;2197998;bqbiol:isDescribedBy;Protein Data Bank;4ja1;bqbiol:isDescribedBy;Protein Data Bank;4dpe;bqbiol:isDescribedBy;Protein Data Bank;1b3d;bqbiol:isDescribedBy;Protein Data Bank;3oho;bqbiol:isDescribedBy;Protein Data Bank;1bqo;bqbiol:isDescribedBy;PubMed;17559674;bqbiol:isDescribedBy;Protein Data Bank;3ohl;bqbiol:isDescribedBy;Protein Data Bank;2usn;bqbiol:isDescribedBy;Protein Data Bank;1oo9;bqbiol:isDescribedBy;Protein Data Bank;1ciz;bqbiol:isDescribedBy;Protein Data Bank;1caq;bqbiol:isDescribedBy;Protein Data Bank;2srt;bqbiol:isDescribedBy;Protein Data Bank;1c8t;bqbiol:isDescribedBy;Ensembl;ENSG00000149968;bqbiol:isDescribedBy;Ensembl;ENSG00000149968;bqbiol:isDescribedBy;Protein Data Bank;1g4k;bqbiol:isDescribedBy;Protein Data Bank;1ums;bqbiol:isDescribedBy;Enzyme Nomenclature;3.4.24.17;bqbiol:isDescribedBy;Protein Data Bank;1umt;bqbiol:isDescribedBy;Protein Data Bank;1qia;bqbiol:isDescribedBy;UniProt Knowledgebase;P08254;bqbiol:isDescribedBy;UniProt Knowledgebase;P08254;bqbiol:isDescribedBy;Protein Data Bank;1cqr;bqbiol:isDescribedBy;Protein Data Bank;1hy7;bqbiol:isDescribedBy;Protein Data Bank;1uea;bqbiol:isDescribedBy;Protein Data Bank;3usn;bqbiol:isDescribedBy;Protein Data Bank;1bm6;bqbiol:isDescribedBy;Protein Data Bank;1qic;;;
Name: cAMP responsive element binding protein 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synonyms: CREB; CREB-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HGNC_ID: 2345;2345;2345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EntrezGene_ID: 1385;1385;1385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
